编码,名称,别名,药品类型,剂型,制剂规格,制剂单位,含量数值,含量单位,储藏方式,处方药,基本药物,抗菌药,抗菌药等级,抗菌药门诊可用,抗菌药需会诊审批,抗菌药允许紧急使用,抗菌药门诊疗程上限,需要皮试,皮试方式,皮试液配置方式,皮试观察分钟,皮试结果有效小时,皮试配置说明,默认剂量,默认剂量单位,默认给药途径,默认频次,慢病用药,允许单开,状态
MED-2026-T206-01,连翘败毒丸（膏、片）,LQBDWGP,CHINESE_PATENT,OTHER,每袋装 9g,丸,9,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-T206-02,连翘败毒丸（膏、片）,LQBDWGP,CHINESE_PATENT,OTHER,每 100粒重 6g,丸,6,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-T206-03,连翘败毒煎膏剂,LQBDWGP,CHINESE_PATENT,TABLET,每袋装 15g,片,15,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-T206-04,连翘败毒煎膏剂,LQBDWGP,CHINESE_PATENT,TABLET,每瓶装 60g,片,60,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-T206-05,连翘败毒煎膏剂,LQBDWGP,CHINESE_PATENT,TABLET,每瓶装 120g,片,120,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-T206-06,连翘败毒丸（膏、片）,LQBDWGP,CHINESE_PATENT,TABLET,每片重 0.6g,片,0.6,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-T207-01,如意金黄散,RYJHS,CHINESE_PATENT,POWDER,每袋 （瓶）装 6g,袋,6,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-T207-02,如意金黄散,RYJHS,CHINESE_PATENT,POWDER,每袋 9g,袋,9,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-T207-03,如意金黄散,RYJHS,CHINESE_PATENT,POWDER,每袋 12g,袋,12,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-T208-01,地榆槐角丸,DYHJW,CHINESE_PATENT,OTHER,每丸重 9g,丸,9,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-T208-02,地榆槐角丸,DYHJW,CHINESE_PATENT,OTHER,每 100丸重 10g,丸,10,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-T209,湿润烧伤膏软膏剂,SRSSG,CHINESE_PATENT,CREAM,每 1g 相当于饮片0.21g,支,1,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,TOPICAL,TID,否,是,ACTIVE
MED-2026-T210-01,康复新液合剂,KFXY,CHINESE_PATENT,ORAL_LIQUID,每瓶装 10ml,瓶,10,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-T210-02,康复新液合剂,KFXY,CHINESE_PATENT,ORAL_LIQUID,每瓶装 50ml,瓶,50,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-T210-03,康复新液合剂,KFXY,CHINESE_PATENT,ORAL_LIQUID,每瓶装 100ml,瓶,100,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-T210-04,康复新液合剂,KFXY,CHINESE_PATENT,ORAL_LIQUID,每1ml含美洲大蠊干燥虫体的乙醇提取物（含总氨基酸以丙氨酸计） 1mg,瓶,1,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-T210-05,康复新液溶液剂,KFXY,CHINESE_PATENT,ORAL_LIQUID,每瓶装 10ml,瓶,10,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-T210-06,康复新液溶液剂,KFXY,CHINESE_PATENT,ORAL_LIQUID,每瓶装 50ml,瓶,50,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-T210-07,康复新液溶液剂,KFXY,CHINESE_PATENT,ORAL_LIQUID,每瓶装 100ml,瓶,100,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-T211-01,肤痔清软膏软膏剂,FZQRG,CHINESE_PATENT,CREAM,每 1g 相当于饮片0.436g,支,1,g,COOL,是,是,否,,否,否,否,,否,,,,,,,,TOPICAL,TID,否,是,ACTIVE
MED-2026-T211-02,肤痔清软膏软膏剂,FZQRG,CHINESE_PATENT,CREAM,含薄荷脑 3mg,支,3,mg,COOL,是,是,否,,否,否,否,,否,,,,,,,,TOPICAL,TID,否,是,ACTIVE
MED-2026-T212-01,排石颗粒,PSKL,CHINESE_PATENT,GRANULE,每袋装 5g,袋,5,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-T212-02,排石颗粒,PSKL,CHINESE_PATENT,GRANULE,每袋装 20g,袋,20,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
