编码,名称,别名,药品类型,剂型,制剂规格,制剂单位,含量数值,含量单位,储藏方式,处方药,基本药物,抗菌药,抗菌药等级,需要皮试,默认剂量,默认剂量单位,默认给药途径,默认频次,慢病用药,允许单开,状态
MED-2026-T155,荜铃胃痛颗粒颗粒剂,BLWTKL,CHINESE_PATENT,GRANULE,每袋相当于饮片20g,袋,20,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T156,荆花胃康胶丸胶囊,JHWKJW,CHINESE_PATENT,CAPSULE,每粒装 80mg,粒,80,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T157,颠茄片片剂,DJP,CHINESE_PATENT,TABLET,每片含颠茄浸膏10mg,片,10,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T158,五灵胶囊,WLJN,CHINESE_PATENT,CAPSULE,每粒装 0.35g,粒,0.35,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T159,枳术宽中胶囊,ZSKZJN,CHINESE_PATENT,CAPSULE,每粒装 0.43g,粒,0.43,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T160,宽胸气雾剂,KXQWJ,CHINESE_PATENT,AEROSOL,每瓶含内容物5.8g，其中药液 2.7ml（含挥发油 0.6ml），每瓶 60揿，每揿重 69mg；每瓶 内容物重 13.8g，内含药 液 4.8g（含挥发油 1.5ml ），每瓶 185 揿，每揿 63mg,瓶,5.8,g,ROOM_TEMPERATURE,是,是,否,,否,,,INHALATION,TID,否,是,ACTIVE
MED-2026-T161-01,保和丸（颗粒、片）（丸剂）,BHWKLP,CHINESE_PATENT,OTHER,每丸重 9g，每 8 丸相当于原生药 3g，每袋装6g 、9g,丸,9,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T161-02,保和丸（颗粒、片）（颗粒剂）,BHWKLP,CHINESE_PATENT,GRANULE,每袋装 4.5g,袋,4.5,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T161-03,保和丸（颗粒、片）（片剂）,BHWKLP,CHINESE_PATENT,TABLET,每片重 0.4g,片,0.4,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T162-01,六味安消散（胶囊）（散剂）,LWAXSJN,CHINESE_PATENT,POWDER,每袋装 18g，每 1g相当于饮片 1g,袋,18,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T162-02,六味安消散（胶囊）,LWAXSJN,CHINESE_PATENT,CAPSULE,每粒装 0.5g,粒,0.5,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T163,四磨汤口服液合剂,SMTKFY,CHINESE_PATENT,ORAL_LIQUID,每 1ml 相当于饮片0.15g,瓶,1,ml,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T164-01,川芎茶调丸（散、颗粒、片）（丸剂）,CQCDWSKLP,CHINESE_PATENT,OTHER,每 8 丸相当于原药材 3g，每袋装 6g,丸,3,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T164-02,川芎茶调丸（散、颗粒、片）（散剂）,CQCDWSKLP,CHINESE_PATENT,POWDER,每袋装 3g 、6g,袋,3,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T164-03,川芎茶调丸（散、颗粒、片）（颗粒剂）,CQCDWSKLP,CHINESE_PATENT,GRANULE,每袋装 4g（相当于饮片 7.35g）、7.8g,袋,4,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
