标准品种ID,旧目录编码,名称,英文名称,药品类型,条目类型,原文规格,专科指导,来源位置,来源版本,审核状态
GEN-C2C15B6C64F5E9FAAC10BEF6,MED-2026-T207,如意金黄散,,CHINESE_PATENT,MEDICATION,散剂：每袋（瓶）装 6g、 9g 、12g,False,table:123/row:2,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-0BD974C4753D0346B516198A,MED-2026-T208,地榆槐角丸,,CHINESE_PATENT,MEDICATION,丸剂：每丸重 9g，每 100丸重 10g,False,table:123/row:3,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-292981CBA0C31568532E63D8,MED-2026-T209,湿润烧伤膏,,CHINESE_PATENT,MEDICATION,软膏剂：每 1g 相当于饮片0.21g,False,table:123/row:4,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-AE1FE96D7D1AE818D4E70EFC,MED-2026-T210,康复新液,,CHINESE_PATENT,MEDICATION,"合剂：每瓶装 10ml、50ml、 100ml，每1ml含美洲大蠊干燥虫体的乙醇提取物
（含总氨基酸以丙氨酸计） 1mg
溶液剂：每瓶装 10ml、 50ml 、100ml",False,table:123/row:5,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-8AD0C44137DAD55FBE275C62,MED-2026-T211,肤痔清软膏,,CHINESE_PATENT,MEDICATION,软膏剂：每 1g 相当于饮片0.436g，含薄荷脑 3mg,False,table:123/row:6,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-88CC736C2F2380BE7FF4D894,MED-2026-T212,排石颗粒,,CHINESE_PATENT,MEDICATION,颗粒剂：每袋装 5g 、20g,False,table:123/row:7,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-E5B3A4D05A80C36E91F3811B,MED-2026-T213,双石通淋胶囊,,CHINESE_PATENT,MEDICATION,胶囊：每粒装 0.5g,False,table:123/row:8,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-8DD5497B41731FAD88D4CD84,MED-2026-T214,马应龙麝香痔疮膏,,CHINESE_PATENT,MEDICATION,软膏剂,False,table:123/row:9,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-60F9D98512AF7485CA3D98B1,MED-2026-T215,内消瘰疬丸,,CHINESE_PATENT,MEDICATION,"丸剂：每 10 丸重 1.85g，
每 100 粒重 6g，每瓶装 9g",False,table:123/row:10,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-D6A248E882AEDC02F8726984,MED-2026-T216,小金丸(胶囊、片),,CHINESE_PATENT,MEDICATION,"丸剂：每 10 丸重 6g，每100 丸重 3g 、6g
胶囊：每粒装 0.3g 、0.35g
片剂：每片重 0.36g",False,table:124/row:3,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-5E5934B1A01095A11E6D71CC,MED-2026-T217,西黄丸(胶囊),,CHINESE_PATENT,MEDICATION,"丸剂：每 20 丸重 1g
胶囊：每粒装 0.25g",False,table:124/row:4,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-369301022D13A7770F097841,MED-2026-T218,脉管复康片(胶囊),,CHINESE_PATENT,MEDICATION,"片剂：每片重 0.3g 、0.6g
胶囊：每粒装 0.45g",False,table:124/row:7,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-C2D36BA370B9D5FC2056D66F,MED-2026-T219,木丹颗粒,,CHINESE_PATENT,MEDICATION,颗粒剂：每袋装 7g,False,table:124/row:8,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-B5222AC0A80A338337665F39,MED-2026-T220,京万红软膏,,CHINESE_PATENT,MEDICATION,软膏剂：每 1g 相当于饮片 0. 161g，每支装 10g 、20g、 50g,False,table:124/row:9,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-01423EEFC54775A65E821212,MED-2026-T221,灵泽片,,CHINESE_PATENT,MEDICATION,片剂：每片重 0.58g,False,table:124/row:10,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-0C85774047A74609E542C896,MED-2026-T222,白灵片(胶囊),,CHINESE_PATENT,MEDICATION,"片剂：每片重 0.34g（相当于饮片 1.64g）
胶囊：每粒装 0.33g",False,table:125/row:2,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-8A61DD973BD255C9BCA2C3CB,MED-2026-T223,益母草膏(颗粒、胶囊、片),,CHINESE_PATENT,MEDICATION,"煎膏剂：每瓶装 125g、 250g
颗粒剂：每袋装 15g
胶囊：每粒装 0.36g
片剂：每片重0.25g、0.28g、 0.6g",False,table:126/row:3,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-4D9E45CEB5F047265B8FC23B,MED-2026-T224,少腹逐瘀丸(颗粒、胶囊),,CHINESE_PATENT,MEDICATION,"丸剂：每丸重 9g
颗粒剂：每袋装 1.6g 、5g
胶囊：每粒装 0.45g",False,table:126/row:4,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-55ADAEA26518562B00A6DA17,MED-2026-T225,茜芷胶囊,,CHINESE_PATENT,MEDICATION,胶囊：每粒装 0.4g,False,table:126/row:5,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-8396B2062949487CEDDA44A9,MED-2026-T226,坤宁颗粒(口服液),,CHINESE_PATENT,MEDICATION,"颗粒剂：每袋装 8g（相当于饮片 25g）、15g
合剂：每 1ml 相当于饮片1.25g",False,table:127/row:2,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-B6A3862057C912164B19E4B0,MED-2026-T227,安宫止血颗粒,,CHINESE_PATENT,MEDICATION,颗粒剂：每袋装 5g,False,table:127/row:3,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-CAF42D8E8C9C0BBD99F8F2A5,MED-2026-T228,葆宫止血颗粒,,CHINESE_PATENT,MEDICATION,颗粒剂：每袋装 15g（每1g 相当于饮片 3.433g）,False,table:127/row:4,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-EF6CF14EACCA41EF7FEEF94F,MED-2026-T229,妇科十味片,,CHINESE_PATENT,MEDICATION,片剂：每片重 0.3g（相当于饮片 0.32g，含碳酸钙21.67mg）,False,table:127/row:5,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-ED7C6933A2BF69A1DFA795A5,MED-2026-T230,妇科千金片(胶囊),,CHINESE_PATENT,MEDICATION,"片剂
胶囊：每粒装 0.4g",False,table:127/row:7,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-64A804992D68ECF22E12682B,MED-2026-T231,花红片(颗粒、胶囊),,CHINESE_PATENT,MEDICATION,"片剂：每片重 0.28g、0.29g
颗粒剂：每袋装 2.5g 、10g
胶囊：每粒装 0.25g（相当于饮片 9.334g）",False,table:127/row:8,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-54486D39957155B7F6A737F5,MED-2026-T232,宫炎平片(胶囊),,CHINESE_PATENT,MEDICATION,"片剂：每片重 0.25g、0.26g
胶囊：每粒装 0.2g 、0.25g （相当于饮片 1g）、0.35g",False,table:127/row:9,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-F4814D033EE2F76861116028,MED-2026-T233,妇炎消胶囊,,CHINESE_PATENT,MEDICATION,胶囊：每粒装 0.45g,False,table:128/row:2,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-635E61214DB6E4AE2196E9E0,MED-2026-T234,金刚藤糖浆,,CHINESE_PATENT,MEDICATION,糖浆剂：每瓶装 150ml,False,table:128/row:3,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-A198F5ACDAAF4D471B5EA22E,MED-2026-T235,康妇消炎栓,,CHINESE_PATENT,MEDICATION,栓剂：每粒重 2.0g,False,table:128/row:4,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-51CBA0CD11C28A1C6816B4F9,MED-2026-T236,康妇炎胶囊,,CHINESE_PATENT,MEDICATION,胶囊：每粒装 0.4g（相当于饮片 3.144g）,False,table:128/row:5,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-2FC980D4DF9374BD5155AB01,MED-2026-T237,保妇康栓,,CHINESE_PATENT,MEDICATION,栓剂：每粒重 1.74g（含莪术油 82mg，冰片 75mg）,False,table:128/row:6,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
